t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598008,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598011,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598014,6,0.237615,0.000000,0.000000,0.000000,events/second
1596598017,6,0.212276,0.000000,0.000000,0.000000,events/second
1596598020,6,0.192421,0.000000,0.000000,0.000000,events/second
1596598023,6,0.175510,0.000000,0.000000,0.000000,events/second
1596598026,6,0.161419,0.000000,0.000000,0.000000,events/second
1596598029,6,0.149250,0.000000,0.000000,0.000000,events/second
1596598032,6,0.138887,0.000000,0.000000,0.000000,events/second
1596598035,6,0.129954,0.000000,0.000000,0.000000,events/second
1596598038,6,0.122025,0.000000,0.000000,0.000000,events/second
1596598041,6,0.115007,0.000000,0.000000,0.000000,events/second
1596598044,6,0.108643,0.000000,0.000000,0.000000,events/second
1596598047,6,0.103123,0.000000,0.000000,0.000000,events/second
1596598050,6,0.098094,0.000000,0.000000,0.000000,events/second
1596598053,6,0.093405,0.000000,0.000000,0.000000,events/second
1596598056,6,0.089303,0.000000,0.000000,0.000000,events/second
1596598059,6,0.085478,0.000000,0.000000,0.000000,events/second
1596598062,6,0.081987,0.000000,0.000000,0.000000,events/second
1596598065,6,0.078763,0.000000,0.000000,0.000000,events/second
1596598068,6,0.075778,0.000000,0.000000,0.000000,events/second
1596598071,6,0.073009,0.000000,0.000000,0.000000,events/second
1596598074,6,0.070435,0.000000,0.000000,0.000000,events/second
1596598077,6,0.068051,0.000000,0.000000,0.000000,events/second
1596598080,6,0.065802,0.000000,0.000000,0.000000,events/second
1596598083,6,0.063708,0.000000,0.000000,0.000000,events/second
1596598086,6,0.061742,0.000000,0.000000,0.000000,events/second
1596598089,6,0.059890,0.000000,0.000000,0.000000,events/second
1596598092,6,0.058148,0.000000,0.000000,0.000000,events/second
1596598095,6,0.056509,0.000000,0.000000,0.000000,events/second
1596598098,6,0.054957,0.000000,0.000000,0.000000,events/second
1596598101,6,0.053497,0.000000,0.000000,0.000000,events/second
1596598104,6,0.052089,0.000000,0.000000,0.000000,events/second
1596598107,6,0.050772,0.000000,0.000000,0.000000,events/second
1596598110,6,0.049505,0.000000,0.000000,0.000000,events/second
1596598113,6,0.048314,0.000000,0.000000,0.000000,events/second
1596598116,6,0.047187,0.000000,0.000000,0.000000,events/second
1596598119,6,0.046099,0.000000,0.000000,0.000000,events/second
1596598122,6,0.045054,0.000000,0.000000,0.000000,events/second
1596598125,6,0.044061,0.000000,0.000000,0.000000,events/second
1596598128,6,0.043109,0.000000,0.000000,0.000000,events/second
1596598131,6,0.042203,0.000000,0.000000,0.000000,events/second
1596598134,6,0.041328,0.000000,0.000000,0.000000,events/second
1596598137,6,0.040493,0.000000,0.000000,0.000000,events/second
1596598140,6,0.039696,0.000000,0.000000,0.000000,events/second
1596598143,6,0.038891,0.000000,0.000000,0.000000,events/second
1596598146,6,0.038131,0.000000,0.000000,0.000000,events/second
1596598149,6,0.037458,0.000000,0.000000,0.000000,events/second
1596598152,6,0.036770,0.000000,0.000000,0.000000,events/second
1596598155,6,0.036108,0.000000,0.000000,0.000000,events/second
1596598158,6,0.035467,0.000000,0.000000,0.000000,events/second
1596598161,6,0.034850,0.000000,0.000000,0.000000,events/second
1596598164,6,0.034252,0.000000,0.000000,0.000000,events/second
1596598167,6,0.033661,0.000000,0.000000,0.000000,events/second
1596598170,6,0.033103,0.000000,0.000000,0.000000,events/second
1596598173,6,0.032573,0.000000,0.000000,0.000000,events/second
1596598176,6,0.032057,0.000000,0.000000,0.000000,events/second
1596598179,6,0.031551,0.000000,0.000000,0.000000,events/second
1596598182,6,0.031039,0.000000,0.000000,0.000000,events/second
1596598185,6,0.030578,0.000000,0.000000,0.000000,events/second
1596598188,6,0.030080,0.000000,0.000000,0.000000,events/second
1596598191,6,0.029676,0.000000,0.000000,0.000000,events/second
1596598194,6,0.029239,0.000000,0.000000,0.000000,events/second
1596598197,6,0.028822,0.000000,0.000000,0.000000,events/second
1596598200,6,0.028415,0.000000,0.000000,0.000000,events/second
1596598203,6,0.028015,0.000000,0.000000,0.000000,events/second
1596598206,6,0.027623,0.000000,0.000000,0.000000,events/second
1596598209,6,0.027253,0.000000,0.000000,0.000000,events/second
1596598212,6,0.026887,0.000000,0.000000,0.000000,events/second
1596598215,6,0.026530,0.000000,0.000000,0.000000,events/second
1596598218,6,0.026183,0.000000,0.000000,0.000000,events/second
1596598221,6,0.025845,0.000000,0.000000,0.000000,events/second
1596598224,6,0.025515,0.000000,0.000000,0.000000,events/second
1596598227,6,0.025169,0.000000,0.000000,0.000000,events/second
1596598230,6,0.024880,0.000000,0.000000,0.000000,events/second
1596598233,6,0.024567,0.000000,0.000000,0.000000,events/second
1596598236,6,0.024275,0.000000,0.000000,0.000000,events/second
1596598239,6,0.023985,0.000000,0.000000,0.000000,events/second
1596598242,6,0.023699,0.000000,0.000000,0.000000,events/second
1596598245,6,0.023421,0.000000,0.000000,0.000000,events/second
1596598248,6,0.023151,0.000000,0.000000,0.000000,events/second
1596598251,6,0.022884,0.000000,0.000000,0.000000,events/second
1596598254,6,0.022627,0.000000,0.000000,0.000000,events/second
1596598257,6,0.022374,0.000000,0.000000,0.000000,events/second
1596598260,6,0.022128,0.000000,0.000000,0.000000,events/second
1596598263,6,0.021882,0.000000,0.000000,0.000000,events/second
1596598266,6,0.021646,0.000000,0.000000,0.000000,events/second
1596598269,6,0.021417,0.000000,0.000000,0.000000,events/second
1596598272,6,0.021188,0.000000,0.000000,0.000000,events/second
1596598275,6,0.020967,0.000000,0.000000,0.000000,events/second
1596598278,6,0.020750,0.000000,0.000000,0.000000,events/second
1596598281,12,0.041070,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598567,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598570,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598573,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598576,2,0.093706,0.000000,0.000000,0.000000,events/second
1596598579,6,0.247064,0.000000,0.000000,0.000000,events/second
1596598582,6,0.219990,0.000000,0.000000,0.000000,events/second
1596598585,7,0.229468,0.000000,0.000000,0.000000,events/second
1596598588,8,0.240326,0.000000,0.000000,0.000000,events/second
1596598591,8,0.220420,0.000000,0.000000,0.000000,events/second
1596598594,14,0.356356,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677251,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677254,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677257,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677260,2,0.093281,0.000000,0.000000,0.000000,events/second
1596677263,6,0.246505,0.000000,0.000000,0.000000,events/second
1596677266,6,0.218145,0.000000,0.000000,0.000000,events/second
1596677269,7,0.228087,0.000000,0.000000,0.000000,events/second
1596677272,8,0.240027,0.000000,0.000000,0.000000,events/second
1596677275,8,0.219979,0.000000,0.000000,0.000000,events/second
1596677278,8,0.203229,0.000000,0.000000,0.000000,events/second
1596677281,8,0.188841,0.000000,0.000000,0.000000,events/second
1596677284,8,0.176443,0.000000,0.000000,0.000000,events/second
1596677287,9,0.186211,0.000000,0.000000,0.000000,events/second
1596677290,9,0.175345,0.000000,0.000000,0.000000,events/second
1596677293,9,0.165563,0.000000,0.000000,0.000000,events/second
1596677296,9,0.156976,0.000000,0.000000,0.000000,events/second
1596677299,9,0.149103,0.000000,0.000000,0.000000,events/second
1596677302,9,0.142052,0.000000,0.000000,0.000000,events/second
1596677305,9,0.135648,0.000000,0.000000,0.000000,events/second
1596677308,10,0.144209,0.000000,0.000000,0.000000,events/second
1596677311,10,0.138197,0.000000,0.000000,0.000000,events/second
1596677314,10,0.132651,0.000000,0.000000,0.000000,events/second
1596677317,10,0.127641,0.000000,0.000000,0.000000,events/second
1596677320,10,0.122951,0.000000,0.000000,0.000000,events/second
1596677323,10,0.118557,0.000000,0.000000,0.000000,events/second
1596677326,11,0.125920,0.000000,0.000000,0.000000,events/second
1596677329,11,0.121789,0.000000,0.000000,0.000000,events/second
1596677332,11,0.117867,0.000000,0.000000,0.000000,events/second
1596677335,11,0.114175,0.000000,0.000000,0.000000,events/second
1596677338,11,0.110711,0.000000,0.000000,0.000000,events/second
1596677341,11,0.107483,0.000000,0.000000,0.000000,events/second
1596677344,11,0.104367,0.000000,0.000000,0.000000,events/second
1596677347,12,0.110771,0.000000,0.000000,0.000000,events/second
1596677350,12,0.107791,0.000000,0.000000,0.000000,events/second
1596677353,12,0.104960,0.000000,0.000000,0.000000,events/second
1596677356,12,0.102260,0.000000,0.000000,0.000000,events/second
1596677359,12,0.099696,0.000000,0.000000,0.000000,events/second
1596677362,12,0.097290,0.000000,0.000000,0.000000,events/second
1596677365,12,0.094971,0.000000,0.000000,0.000000,events/second
1596677368,13,0.100469,0.000000,0.000000,0.000000,events/second
1596677371,13,0.098229,0.000000,0.000000,0.000000,events/second
1596677374,13,0.096055,0.000000,0.000000,0.000000,events/second
1596677377,13,0.093959,0.000000,0.000000,0.000000,events/second
1596677380,13,0.091980,0.000000,0.000000,0.000000,events/second
1596677383,13,0.090064,0.000000,0.000000,0.000000,events/second
1596677386,14,0.094869,0.000000,0.000000,0.000000,events/second
1596677389,14,0.093085,0.000000,0.000000,0.000000,events/second
1596677392,14,0.091290,0.000000,0.000000,0.000000,events/second
1596677395,14,0.089505,0.000000,0.000000,0.000000,events/second
1596677398,14,0.087865,0.000000,0.000000,0.000000,events/second
1596677401,14,0.086118,0.000000,0.000000,0.000000,events/second
1596677404,14,0.084638,0.000000,0.000000,0.000000,events/second
1596677407,15,0.089100,0.000000,0.000000,0.000000,events/second
1596677410,15,0.087545,0.000000,0.000000,0.000000,events/second
1596677413,15,0.086042,0.000000,0.000000,0.000000,events/second
1596677416,15,0.084582,0.000000,0.000000,0.000000,events/second
1596677419,15,0.083177,0.000000,0.000000,0.000000,events/second
