t,value
1596597996,2097152
1596597999,2097152
1596598002,2097152
1596598005,2097152
1596598008,2097152
1596598011,2097152
1596598014,2097152
1596598017,2097152
1596598020,2097152
1596598023,2097152
1596598026,2097152
1596598029,2097152
1596598032,2097152
1596598035,2097152
1596598038,2097152
1596598041,2097152
1596598044,2097152
1596598047,2097152
1596598050,2097152
1596598053,2097152
1596598056,2097152
1596598059,2097152
1596598062,2097152
1596598065,2097152
1596598068,2097152
1596598071,2097152
1596598074,2097152
1596598077,2097152
1596598080,2097152
1596598083,2097152
1596598086,2097152
1596598089,2097152
1596598092,2097152
1596598095,2097152
1596598098,2097152
1596598101,2097152
1596598104,2097152
1596598107,2097152
1596598110,2097152
1596598113,2097152
1596598116,2097152
1596598119,2097152
1596598122,2097152
1596598125,2097152
1596598128,2097152
1596598131,2097152
1596598134,2097152
1596598137,2097152
1596598140,2097152
1596598143,2097152
1596598146,2097152
1596598149,2097152
1596598152,2097152
1596598155,2097152
1596598158,2097152
1596598161,2097152
1596598164,2097152
1596598167,2097152
1596598170,2097152
1596598173,2097152
1596598176,2097152
1596598179,2097152
1596598182,2097152
1596598185,2097152
1596598188,2097152
1596598191,2097152
1596598194,2097152
1596598197,2097152
1596598200,2097152
1596598203,2097152
1596598206,2097152
1596598209,2097152
1596598212,2097152
1596598215,2097152
1596598218,2097152
1596598221,2097152
1596598224,2097152
1596598227,2097152
1596598230,2097152
1596598233,2097152
1596598236,2097152
1596598239,2097152
1596598242,2097152
1596598245,2097152
1596598248,2097152
1596598251,2097152
1596598254,2097152
1596598257,2097152
1596598260,2097152
1596598263,2097152
1596598266,2097152
1596598269,2097152
1596598272,2097152
1596598275,2097152
1596598278,2097152
1596598281,2097152
t,value
1596598558,2097152
1596598561,2097152
1596598564,2097152
1596598567,2097152
1596598570,2097152
1596598573,2097152
1596598576,2097152
1596598579,2097152
1596598582,2097152
1596598585,2097152
1596598588,2097152
1596598591,2097152
1596598594,2097152
t,value
1596677242,2097152
1596677245,2097152
1596677248,2097152
1596677251,2097152
1596677254,2097152
1596677257,2097152
1596677260,2097152
1596677263,2097152
1596677266,2097152
1596677269,2097152
1596677272,2097152
1596677275,2097152
1596677278,2097152
1596677281,2097152
1596677284,2097152
1596677287,2097152
1596677290,2097152
1596677293,2097152
1596677296,2097152
1596677299,2097152
1596677302,2097152
1596677305,2097152
1596677308,2097152
1596677311,2097152
1596677314,2097152
1596677317,2097152
1596677320,2097152
1596677323,2097152
1596677326,2097152
1596677329,2097152
1596677332,2097152
1596677335,2097152
1596677338,2097152
1596677341,2097152
1596677344,2097152
1596677347,2097152
1596677350,2097152
1596677353,2097152
1596677356,2097152
1596677359,2097152
1596677362,2097152
1596677365,2097152
1596677368,2097152
1596677371,2097152
1596677374,2097152
1596677377,2097152
1596677380,2097152
1596677383,2097152
1596677386,2097152
1596677389,2097152
1596677392,2097152
1596677395,2097152
1596677398,2097152
1596677401,2097152
1596677404,2097152
1596677407,2097152
1596677410,2097152
1596677413,2097152
1596677416,2097152
1596677419,2097152
1596677422,2097152
1596677425,2097152
1596677428,2097152
1596677431,2097152
1596677434,2097152
1596677437,2097152
1596677440,2097152
1596677443,2097152
1596677446,2097152
1596677449,2097152
1596677452,2097152
1596677455,2097152
1596677458,2097152
1596677461,2097152
1596677464,2097152
1596677467,2097152
1596677470,2097152
1596677473,2097152
1596677476,2097152
1596677479,2097152
1596677482,2097152
1596677485,2097152
1596677488,2097152
1596677491,2097152
1596677494,2097152
1596677497,2097152
1596677500,2097152
1596677503,2097152
1596677506,2097152
1596677509,2097152
1596677512,2097152
1596677515,2097152
1596677518,2097152
1596677521,2097152
1596677524,2097152
1596677527,2097152
1596677530,2097152
1596677533,2097152
1596677536,2097152
1596677539,2097152
1596677542,2097152
1596677545,2097152
1596677548,2097152
1596677551,2097152
1596677554,2097152
1596677557,2097152
1596677560,2097152
1596677563,2097152
1596677566,2097152
1596677569,2097152
1596677572,2097152
1596677575,2097152
1596677578,2097152
1596677581,2097152
1596677584,2097152
1596677587,2097152
1596677590,2097152
1596677593,2097152
1596677596,2097152
1596677599,2097152
1596677602,2097152
1596677605,2097152
1596677608,2097152
1596677611,2097152
1596677614,2097152
1596677617,2097152
1596677620,2097152
1596677623,2097152
1596677626,2097152
1596677629,2097152
1596677632,2097152
1596677635,2097152
1596677638,2097152
1596677641,2097152
1596677644,2097152
1596677647,2097152
1596677650,2097152
1596677653,2097152
1596677656,2097152
1596677659,2097152
1596677662,2097152
1596677665,2097152
1596677668,2097152
1596677671,2097152
1596677674,2097152
1596677677,2097152
1596677680,2097152
1596677683,2097152
1596677686,2097152
1596677689,2097152
1596677692,2097152
1596677695,2097152
1596677698,2097152
1596677701,2097152
1596677704,2097152
1596677707,2097152
1596677710,2097152
1596677713,2097152
1596677716,2097152
1596677719,2097152
1596677722,2097152
1596677725,2097152
1596677728,2097152
1596677731,2097152
1596677734,2097152
1596677737,2097152
1596677740,2097152
1596677743,2097152
1596677746,2097152
1596677749,2097152
1596677752,2097152
1596677755,2097152
1596677758,2097152
1596677761,2097152
1596677764,2097152
1596677767,2097152
1596677770,2097152
1596677773,2097152
1596677776,2097152
1596677779,2097152
1596677782,2097152
1596677785,2097152
1596677788,2097152
1596677791,2097152
1596677794,2097152
1596677797,2097152
1596677800,2097152
1596677803,2097152
1596677806,2097152
1596677809,2097152
1596677812,2097152
1596677815,2097152
1596677818,2097152
1596677821,2097152
1596677824,2097152
1596677827,2097152
1596677830,2097152
1596677833,2097152
1596677836,2097152
1596677839,2097152
1596677842,2097152
1596677845,2097152
1596677848,2097152
1596677851,2097152
1596677854,2097152
1596677857,2097152
