t,value
1597515515,810925
1597515518,810925
1597515521,810925
1597515524,810925
1597515527,810925
1597515530,810925
1597515533,810925
1597515536,810925
1597515539,810925
1597515542,810925
1597515545,810925
1597515548,810925
1597515551,810925
1597515554,810925
1597515557,810925
1597515560,810925
1597515563,810925
1597515566,810925
1597515569,810925
1597515572,810925
1597515575,810925
1597515578,810925
1597515581,810925
1597515584,810925
1597515587,810925
1597515590,810925
1597515593,810925
1597515596,810925
1597515599,810925
1597515602,810925
1597515605,810925
1597515608,810925
1597515611,810925
1597515614,810925
1597515617,810925
1597515620,810925
1597515623,810925
1597515626,810925
1597515629,810925
1597515632,810925
1597515635,810925
1597515638,810925
1597515641,810925
1597515644,810925
1597515647,810925
1597515650,810925
1597515653,810925
1597515656,810925
1597515659,810925
1597515662,810925
1597515665,810925
1597515668,810925
1597515671,810925
1597515674,810925
1597515677,810925
1597515680,810925
1597515683,810925
1597515686,810925
1597515689,810925
1597515692,810925
1597515695,810925
1597515698,810925
1597515701,810925
1597515704,810925
1597515707,810925
1597515710,810925
1597515713,810925
1597515716,810925
1597515719,810925
1597515722,810925
1597515725,810925
1597515728,810925
1597515731,810925
1597515734,810925
1597515737,810925
1597515740,810925
1597515743,810925
1597515746,810925
1597515749,810925
1597515752,810925
1597515755,810925
1597515758,810925
1597515761,810925
1597515764,810925
1597515767,810925
1597515770,810925
1597515773,810925
1597515776,810925
1597515779,810925
1597515782,810925
1597515785,810925
1597515788,810925
1597515791,810925
1597515794,810925
1597515797,810925
1597515800,810925
1597515803,810925
1597515806,810925
1597515809,810925
1597515812,810925
1597515815,810925
1597515818,810925
1597515821,810925
1597515824,810925
1597515827,810925
1597515830,810925
1597515833,810925
1597515836,810925
1597515839,810925
1597515842,810925
1597515845,810925
1597515848,810925
1597515851,810925
1597515854,810925
1597515857,810925
1597515860,810925
1597515863,810925
1597515866,810925
1597515869,810925
1597515872,810925
1597515875,810925
1597515878,810925
1597515881,810925
1597515884,810925
1597515887,810925
1597515890,810925
1597515893,810925
1597515896,810925
1597515899,810925
1597515902,810925
1597515905,810925
1597515908,810925
1597515911,810925
1597515914,810925
1597515917,810925
1597515920,810925
1597515923,810925
1597515926,810925
1597515929,810925
1597515932,810925
1597515935,810925
1597515938,810925
1597515941,810925
1597515944,810925
1597515947,810925
1597515950,810925
1597515953,810925
1597515956,810925
1597515959,810925
1597515962,810925
1597515965,810925
1597515968,810925
1597515971,810925
1597515974,810925
1597515977,810925
1597515980,810925
1597515983,810925
1597515986,810925
1597515989,810925
1597515992,810925
1597515995,810925
1597515998,810925
1597516001,810925
1597516004,810925
1597516007,810925
1597516010,810925
1597516013,810925
1597516016,810925
1597516019,810925
1597516022,810925
1597516025,810925
1597516028,810925
1597516031,810925
1597516034,810925
1597516037,810925
1597516040,810925
1597516043,810925
1597516046,810925
1597516049,810925
1597516052,810925
1597516055,810925
1597516058,810925
1597516061,810925
1597516064,810925
1597516067,810925
1597516070,810925
1597516073,810925
1597516076,810925
1597516079,810925
1597516082,810925
1597516085,810925
1597516088,810925
1597516091,810925
1597516094,810925
1597516097,810925
1597516100,810925
1597516103,942753
1597516106,942753
1597516109,942753
1597516112,942753
1597516115,942753
1597516118,942753
1597516121,942753
1597516124,942753
1597516127,942753
1597516130,942753
1597516133,942753
1597516136,942753
1597516139,942753
1597516142,942753
1597516145,942753
1597516148,942753
1597516151,942753
1597516154,942753
1597516157,942753
1597516160,942753
1597516163,942753
1597516166,942753
1597516169,942753
1597516172,942753
1597516175,942753
1597516178,942753
1597516181,942753
1597516184,942753
1597516187,942753
1597516190,942753
1597516193,942753
1597516196,942753
1597516199,942753
1597516202,942753
1597516205,942753
1597516208,942753
1597516211,942753
1597516214,942753
1597516217,942753
1597516220,942753
1597516223,942753
1597516226,942753
1597516229,942753
1597516232,942753
1597516235,942753
1597516238,942753
1597516241,942753
1597516244,942753
1597516247,942753
1597516250,942753
1597516253,942753
1597516256,942753
1597516259,942753
1597516262,942753
1597516265,942753
1597516268,942753
1597516271,942753
1597516274,942753
1597516277,942753
1597516280,942753
1597516283,942753
1597516286,942753
1597516289,942753
1597516292,942753
1597516295,942753
1597516298,942753
1597516301,942753
1597516304,942753
1597516307,942753
1597516310,942753
1597516313,942753
1597516316,942753
1597516319,942753
1597516322,942753
1597516325,942753
1597516328,942753
1597516331,942753
1597516334,942753
1597516337,942753
1597516340,942753
1597516343,942753
1597516346,942753
1597516349,942753
1597516352,942753
1597516355,942753
1597516358,942753
1597516361,942753
1597516364,942753
1597516367,942753
1597516370,942753
1597516373,942753
1597516376,942753
1597516379,942753
1597516382,942753
1597516385,942753
1597516388,942753
1597516391,942753
1597516394,942753
1597516397,942753
1597516400,942753
1597516403,942753
1597516406,942753
1597516409,942753
1597516412,942753
1597516415,942753
1597516418,942753
1597516421,942753
1597516424,942753
1597516427,942753
1597516430,942753
1597516433,942753
1597516436,942753
1597516439,942753
1597516442,942753
1597516445,942753
1597516448,942753
1597516451,942753
1597516454,942753
1597516457,942753
1597516460,942753
1597516463,942753
1597516466,942753
1597516469,942753
1597516472,942753
1597516475,942753
1597516478,942753
1597516481,942753
1597516484,942753
1597516487,942753
1597516490,942753
1597516493,942753
1597516496,942753
1597516499,942753
1597516502,942753
1597516505,942753
1597516508,942753
1597516511,942753
1597516514,942753
1597516517,942753
1597516520,942753
1597516523,942753
1597516526,942753
1597516529,942753
1597516532,942753
